FAC 1.1.5
Endian	= 0
TSess	= 1570375361
Type	= 1
Verbose	= 1
Ge Z	=  32.0
NBlocks	= 1
E0	= 0, -4.90495729E+04

NELE	= 10
NLEV	= 241
  ILEV  IBASE    ENERGY       P   VNL   2J
   200     -1  2.00964691E+03 0   605   12 1*2.2*7.6*1                      2p5.6h1                                          2p-1(1)1.6h+1(11)12
   201     -1  2.05154523E+03 0   500    2 1*2.2*7.5*1                      2s1.5s1                                          2s+1(1)1.5s+1(1)2
   202     -1  2.05291948E+03 0   500    0 1*2.2*7.5*1                      2s1.5s1                                          2s+1(1)1.5s+1(1)0
   203     -1  2.06073900E+03 1   501    0 1*2.2*7.5*1                      2s1.5p1                                          2s+1(1)1.5p-1(1)0
   204     -1  2.06086014E+03 1   501    2 1*2.2*7.5*1                      2s1.5p1                                          2s+1(1)1.5p-1(1)2
   205     -1  2.06227622E+03 1   501    4 1*2.2*7.5*1                      2s1.5p1                                          2s+1(1)1.5p+1(3)4
   206     -1  2.06264649E+03 1   501    2 1*2.2*7.5*1                      2s1.5p1                                          2s+1(1)1.5p+1(3)2
   207     -1  2.07273782E+03 0   502    2 1*2.2*7.5*1                      2s1.5d1                                          2s+1(1)1.5d-1(3)2
   208     -1  2.07283734E+03 0   502    4 1*2.2*7.5*1                      2s1.5d1                                          2s+1(1)1.5d-1(3)4
   209     -1  2.07305754E+03 0   502    6 1*2.2*7.5*1                      2s1.5d1                                          2s+1(1)1.5d+1(5)6
   210     -1  2.07408924E+03 0   502    4 1*2.2*7.5*1                      2s1.5d1                                          2s+1(1)1.5d+1(5)4
   211     -1  2.07847350E+03 1   503    4 1*2.2*7.5*1                      2s1.5f1                                          2s+1(1)1.5f-1(5)4
   212     -1  2.07850297E+03 1   503    6 1*2.2*7.5*1                      2s1.5f1                                          2s+1(1)1.5f-1(5)6
